shoot_height_cm,trunk_circumference_cm,shoot_age_months,num_leaves,leaf_color,bark_color,bark_texture,straightness,harvest_readiness
135,5.05,18,15,brownish green,dark brown,rough and peeling,very straight,Ready
120,5.23,24,22,brownish green,dark brown,rough and peeling,slightly straight,Ready
99,2.81,8,12,bright green,dark brown,slightly rough,very straight,Not Ready
103,3.11,11,12,yellowish green,dark brown,slightly rough,slightly straight,Not Ready
99,2.23,8,9,dark green,light brown,slightly rough,slightly straight,Not Ready
90,4.13,24,14,yellowish green,medium brown,smooth and soft,slightly straight,Borderline
161,3.78,19,20,dark green,dark brown,slightly rough,slightly straight,Ready
178,3.11,15,16,dark green,medium brown,slightly rough,slightly straight,Not Ready
156,4.07,20,26,yellowish green,dark brown,rough and peeling,slightly straight,Ready
126,3.78,22,17,dark green,dark brown,slightly rough,very straight,Ready
148,3.32,14,13,brownish green,light brown,smooth and soft,slightly straight,Borderline
166,2.46,10,8,dark green,medium brown,rough and peeling,slightly straight,Ready
175,3.59,23,22,dark green,dark brown,rough and peeling,very straight,Ready
144,2.66,8,10,yellowish green,medium brown,smooth and soft,slightly straight,Not Ready
96,1.81,11,11,dark green,green,smooth and soft,slightly straight,Not Ready
171,4.55,23,16,yellowish green,light brown,smooth and soft,very straight,Ready
120,3.02,11,15,yellowish green,light brown,slightly rough,slightly straight,Borderline
133,3.44,20,16,yellowish green,medium brown,rough and peeling,very straight,Ready
166,3.49,23,16,yellowish green,medium brown,slightly rough,slightly straight,Ready
160,2.99,21,13,yellowish green,medium brown,slightly rough,very straight,Ready
147,3.56,22,20,yellowish green,dark brown,rough and peeling,very straight,Ready
57,1.46,10,9,bright green,green,smooth and soft,slightly straight,Not Ready
164,2.75,8,15,dark green,medium brown,slightly rough,very straight,Borderline
122,3.97,20,23,bright green,medium brown,slightly rough,very straight,Not Ready
147,3.1,24,17,brownish green,dark brown,slightly rough,very straight,Not Ready
173,3.34,18,15,dark green,dark brown,rough and peeling,slightly straight,Ready
173,4.72,21,21,brownish green,dark brown,rough and peeling,very straight,Ready
180,3.01,12,12,brownish green,light brown,smooth and soft,very straight,Borderline
180,1.84,8,15,dark green,light brown,slightly rough,very straight,Borderline
136,2.98,17,19,bright green,light brown,smooth and soft,very straight,Not Ready
148,6.15,19,17,brownish green,dark brown,smooth and soft,curved,Ready
116,6.88,18,18,brownish green,medium brown,slightly rough,slightly straight,Borderline
113,4.62,18,17,yellowish green,dark brown,rough and peeling,very straight,Ready
97,2.12,11,16,bright green,light brown,smooth and soft,slightly straight,Not Ready
97,2.04,10,17,dark green,green,smooth and soft,very straight,Not Ready
97,1.68,11,13,bright green,medium brown,smooth and soft,very straight,Not Ready
133,3.66,23,16,dark green,dark brown,rough and peeling,very straight,Ready
155,3.88,19,15,yellowish green,dark brown,slightly rough,very straight,Ready
95,4.17,23,18,dark green,dark brown,rough and peeling,very straight,Ready
163,4.23,18,16,brownish green,medium brown,slightly rough,very straight,Ready
98,1.48,11,13,bright green,light brown,slightly rough,slightly straight,Not Ready
99,1.46,9,5,dark green,light brown,smooth and soft,slightly straight,Not Ready
117,1.67,11,5,bright green,light brown,smooth and soft,curved,Not Ready
126,3.53,23,19,dark green,light brown,slightly rough,very straight,Ready
156,3.26,23,16,yellowish green,dark brown,rough and peeling,very straight,Ready
157,3.25,18,13,dark green,dark brown,rough and peeling,slightly straight,Ready
141,2.66,8,7,dark green,light brown,smooth and soft,very straight,Not Ready
129,3.8,18,16,yellowish green,dark brown,rough and peeling,slightly straight,Ready
173,4.84,21,22,brownish green,dark brown,rough and peeling,curved,Ready
127,3.69,22,15,yellowish green,medium brown,rough and peeling,slightly straight,Ready
97,2.32,9,12,dark green,light brown,smooth and soft,very straight,Not Ready
100,3.22,8,11,dark green,light brown,slightly rough,slightly straight,Not Ready
110,3.51,12,12,brownish green,dark brown,rough and peeling,very straight,Ready
93,2.28,10,12,dark green,medium brown,slightly rough,slightly straight,Not Ready
85,2.5,8,13,dark green,light brown,smooth and soft,very straight,Not Ready
119,2.63,23,16,brownish green,dark brown,rough and peeling,slightly straight,Ready
144,4.47,20,21,brownish green,light brown,smooth and soft,slightly straight,Ready
156,3.65,22,15,yellowish green,dark brown,slightly rough,very straight,Ready
152,4.94,18,17,dark green,medium brown,smooth and soft,slightly straight,Ready
140,3.8,20,17,yellowish green,dark brown,rough and peeling,slightly straight,Ready
162,3.4,14,18,yellowish green,medium brown,smooth and soft,very straight,Not Ready
138,3.4,17,19,yellowish green,light brown,smooth and soft,slightly straight,Borderline
167,3.87,24,15,brownish green,dark brown,slightly rough,slightly straight,Ready
132,3.27,20,15,yellowish green,medium brown,slightly rough,slightly straight,Ready
80,1.43,11,11,bright green,green,smooth and soft,slightly straight,Not Ready
132,2.99,21,18,brownish green,dark brown,slightly rough,very straight,Ready
137,2.76,11,17,bright green,medium brown,rough and peeling,slightly straight,Borderline
128,4.0,24,18,yellowish green,dark brown,rough and peeling,very straight,Ready
106,1.75,10,5,bright green,green,smooth and soft,slightly straight,Not Ready
154,3.67,20,13,yellowish green,medium brown,slightly rough,very straight,Ready
145,4.88,19,22,brownish green,dark brown,rough and peeling,very straight,Ready
98,3.34,13,10,dark green,dark brown,rough and peeling,slightly straight,Ready
120,2.88,17,17,brownish green,dark brown,smooth and soft,curved,Borderline
44,1.19,10,7,bright green,green,smooth and soft,slightly straight,Not Ready
142,3.95,20,20,yellowish green,medium brown,rough and peeling,slightly straight,Ready
170,3.52,21,14,yellowish green,medium brown,slightly rough,very straight,Ready
117,4.06,14,17,dark green,light brown,smooth and soft,slightly straight,Ready
127,3.06,24,17,yellowish green,light brown,slightly rough,very straight,Not Ready
42,0.9,11,10,bright green,green,smooth and soft,slightly straight,Not Ready
170,2.99,9,21,dark green,dark brown,smooth and soft,very straight,Not Ready
180,3.43,21,16,yellowish green,dark brown,rough and peeling,very straight,Ready
133,5.77,23,21,yellowish green,dark brown,slightly rough,very straight,Ready
160,3.33,20,16,brownish green,medium brown,slightly rough,slightly straight,Not Ready
134,2.29,9,10,dark green,light brown,slightly rough,very straight,Not Ready
158,4.44,22,20,yellowish green,medium brown,slightly rough,very straight,Ready
160,4.85,19,19,dark green,dark brown,slightly rough,slightly straight,Ready
149,2.56,9,12,bright green,medium brown,slightly rough,very straight,Borderline
82,2.02,10,16,dark green,green,smooth and soft,very straight,Not Ready
141,3.62,12,16,dark green,dark brown,rough and peeling,very straight,Ready
106,3.16,19,17,yellowish green,dark brown,rough and peeling,slightly straight,Ready
150,2.53,11,14,bright green,light brown,slightly rough,slightly straight,Not Ready
150,2.81,10,12,yellowish green,green,smooth and soft,curved,Not Ready
172,2.89,17,13,yellowish green,medium brown,slightly rough,slightly straight,Borderline
125,3.11,11,12,brownish green,medium brown,smooth and soft,very straight,Ready
117,2.54,11,16,brownish green,medium brown,slightly rough,very straight,Not Ready
155,6.21,20,15,brownish green,dark brown,rough and peeling,slightly straight,Ready
162,2.55,10,14,dark green,light brown,smooth and soft,very straight,Not Ready
92,3.0,13,14,dark green,light brown,smooth and soft,very straight,Not Ready
134,4.03,19,10,dark green,dark brown,rough and peeling,slightly straight,Ready
116,2.08,10,7,dark green,green,smooth and soft,very straight,Not Ready
93,3.15,8,10,brownish green,medium brown,slightly rough,very straight,Not Ready
138,4.33,22,21,yellowish green,medium brown,slightly rough,slightly straight,Ready
157,1.95,8,13,dark green,light brown,slightly rough,very straight,Not Ready
125,3.3,17,12,dark green,medium brown,slightly rough,very straight,Borderline
56,1.37,10,12,bright green,green,smooth and soft,slightly straight,Not Ready
178,2.39,9,10,dark green,medium brown,slightly rough,very straight,Borderline
126,5.27,22,13,brownish green,dark brown,rough and peeling,slightly straight,Ready
180,3.69,21,22,dark green,dark brown,rough and peeling,slightly straight,Ready
129,3.91,20,22,yellowish green,dark brown,rough and peeling,very straight,Ready
107,2.1,8,11,bright green,green,smooth and soft,curved,Not Ready
180,2.93,9,17,bright green,light brown,smooth and soft,very straight,Not Ready
173,4.18,19,17,brownish green,medium brown,slightly rough,very straight,Ready
173,3.72,21,13,dark green,dark brown,rough and peeling,curved,Ready
157,3.47,10,11,bright green,medium brown,slightly rough,very straight,Not Ready
132,2.55,9,12,bright green,light brown,smooth and soft,slightly straight,Not Ready
85,2.94,9,15,dark green,medium brown,slightly rough,slightly straight,Not Ready
132,2.7,10,11,dark green,medium brown,rough and peeling,curved,Borderline
179,3.06,19,25,brownish green,dark brown,rough and peeling,very straight,Ready
82,2.77,15,14,brownish green,medium brown,rough and peeling,curved,Borderline
147,2.61,8,15,brownish green,light brown,slightly rough,slightly straight,Borderline
146,5.25,21,20,yellowish green,light brown,smooth and soft,very straight,Ready
172,2.64,23,23,brownish green,dark brown,rough and peeling,very straight,Ready
93,2.44,17,11,yellowish green,medium brown,slightly rough,very straight,Borderline
179,2.51,8,13,dark green,medium brown,rough and peeling,slightly straight,Borderline
165,4.13,21,21,yellowish green,medium brown,slightly rough,slightly straight,Ready
156,2.71,10,14,yellowish green,light brown,slightly rough,curved,Borderline
113,2.16,10,14,yellowish green,green,smooth and soft,curved,Not Ready
145,4.11,23,17,dark green,medium brown,smooth and soft,very straight,Ready
99,2.12,11,12,dark green,light brown,slightly rough,very straight,Not Ready
163,3.92,19,14,brownish green,medium brown,slightly rough,very straight,Ready
162,4.08,24,20,yellowish green,dark brown,rough and peeling,slightly straight,Ready
144,3.25,19,21,dark green,medium brown,slightly rough,slightly straight,Ready
117,1.68,11,8,yellowish green,dark brown,rough and peeling,very straight,Not Ready
138,2.48,9,13,dark green,light brown,slightly rough,very straight,Not Ready
96,2.87,9,9,yellowish green,green,smooth and soft,curved,Not Ready
127,3.6,21,18,dark green,dark brown,slightly rough,slightly straight,Ready
128,1.7,11,18,dark green,light brown,smooth and soft,very straight,Not Ready
111,2.17,10,13,bright green,light brown,slightly rough,curved,Not Ready
169,3.86,23,18,yellowish green,dark brown,rough and peeling,slightly straight,Ready
44,1.1,8,9,bright green,green,smooth and soft,very straight,Not Ready
112,2.34,8,8,dark green,light brown,smooth and soft,slightly straight,Not Ready
